Date,01Y,18M,02Y,03Y,04Y,05Y,06Y,07Y,08Y,09Y,10Y,12Y,15Y,20Y,25Y,30Y,40Y,50Y
2015-01-06 17:00:00-05:00,0.05045072485316963,0.05847254115072579,0.06253826103003164,0.09266462430176824,0.1404901625842535,0.20200828507085145,0.2895035479066573,0.3519146996052615,0.45222152702003676,0.5299128719135708,0.5921645498240845,0.7302368580507258,0.8865392749512644,1.048086428143948,1.1423184228771923,1.2001327447659516,1.2511965880501827,1.2536446227951195
2015-01-07 17:00:00-05:00,0.051172036443494544,0.05926017777811378,0.06332065467885616,0.09412638192034734,0.1439791828803087,0.20909265939463417,0.3017473240736453,0.36695612447663445,0.4693530312649728,0.5489743248255994,0.6125708266594969,0.7531397630895392,0.9128115802951703,1.076056628827224,1.168810871694628,1.2264702263796683,1.2762506267815779,1.2707807445882955
2015-01-08 17:00:00-05:00,0.052924915224505625,0.060500907771977475,0.06432514196754047,0.0962251133438433,0.14977292130089295,0.21982154660664097,0.31824270540412286,0.3884423972252486,0.4972290945708215,0.5813894129363485,0.6487605331766578,0.7962068126643365,0.9666130993048928,1.1435200595146016,1.24422374021884,1.3042068675182792,1.35029046976034,1.3449704303126317
2015-01-09 17:00:00-05:00,0.047714470231638405,0.05682707689379499,0.06142692338970406,0.09406432605687418,0.14518525623447245,0.21140838678670165,0.30626247403810314,0.3737063644955347,0.4812699092273854,0.5648913531752537,0.6309411281207339,0.7768787646473099,0.9434409973225859,1.1154631661621652,1.2097323759010181,1.2651333377934766,1.3087865843825943,1.2951787442566585
2015-01-12 17:00:00-05:00,0.050446283535392406,0.05802496769550101,0.06188160591152224,0.09177416156369891,0.14072640457894692,0.20515827044718543,0.2966133319688551,0.3615348893208025,0.4641066688642651,0.5428118701975135,0.6057231584670493,0.745224344141262,0.9052119737728351,1.0687314677680062,1.1589191464245627,1.2120565167330142,1.2501259953609352,1.2348991095890167
2015-01-13 17:00:00-05:00,0.04864164895821902,0.055659176453312934,0.05921591058699701,0.08918579919610709,0.13968609829524414,0.2067411567391338,0.3017755258995758,0.36954555290137087,0.47333469182488297,0.5537124157233982,0.6181095122774044,0.757831904411509,0.9169571090646111,1.0795228867035163,1.1689208041417127,1.220606439845363,1.2584589432969873,1.2430002498341606
2015-01-14 17:00:00-05:00,0.0435255184463649,0.05040478540982682,0.05385839725453183,0.08232468458448504,0.12951343475715876,0.19175649169998113,0.2812745561158021,0.34428241993573816,0.4444419195993178,0.5223329212924793,0.5845527226902341,0.7231270839436091,0.8817917495646017,1.045190067276182,1.1363229013477345,1.1912084720139244,1.2346415155467718,1.2184589173256841
2015-01-15 17:00:00-05:00,0.015032548568850744,0.020503970707518675,0.023265876903189753,0.054115115984001885,0.10705555281916845,0.17530485795998826,0.2707167918621815,0.338777680582078,0.4445943375283065,0.526470839762122,0.5920229826570186,0.7322559081087655,0.8908503527432456,1.0568021748929706,1.1543591115584408,1.212648303096991,1.2533798180771096,1.238987103778318
2015-01-16 17:00:00-05:00,0.011560766138361525,0.016237136669520556,0.018597720898889343,0.04906869517376879,0.10315256779987927,0.17428429218638597,0.2723452744201897,0.34205844640649863,0.4468180075871974,0.5282787784261457,0.5926342629909505,0.7319575452281059,0.8913066418324913,1.057139631021233,1.1525083100692788,1.2097518474644897,1.2560462215267947,1.2458817439776233
2015-01-19 17:00:00-05:00,0.01429158057282568,0.019854953759468982,0.022686055741161615,0.0532872467416273,0.10584568304301548,0.17442971662768877,0.27013259734517003,0.33806026392415583,0.442891836208747,0.5233251380196738,0.5876140756588242,0.7251062376100131,0.8804848637782571,1.0442363523045972,1.1384556748913013,1.1942623048961976,1.2373474244970442,1.2301142428918785
2015-01-20 17:00:00-05:00,0.019809520547867856,0.028076899317986573,0.03226705484702813,0.06653444115871025,0.12208370821091036,0.19314206176653895,0.2902583888131052,0.35951055877938476,0.4624277381534753,0.542138559353714,0.6060067194315173,0.7419875671949482,0.8960910837679477,1.0546696664366588,1.1433400476588826,1.1959650111056164,1.241460465229258,1.2279734190230076
